,seqno,send.timestamp,receive.timestamp,gtp.out.timestamp,gtp.out.length,gtp.out.sn,sdap.sdu.timestamp,sdap.sdu.length,pdcp.decoded.timestamp,pdcp.decoded.length,rlc.reassembled.0.rlc.reassembled.MRbuf,rlc.reassembled.0.rlc.reassembled.timestamp,rlc.reassembled.0.rlc.reassembled.length,rlc.reassembled.0.rlc.decoded.lcid,rlc.reassembled.0.rlc.decoded.hqpid,rlc.reassembled.0.rlc.decoded.frame,rlc.reassembled.0.rlc.decoded.slot,rlc.reassembled.0.rlc.decoded.timestamp,rlc.reassembled.0.rlc.decoded.length,rlc.reassembled.0.mac.demuxed.frame,rlc.reassembled.0.mac.demuxed.slot,rlc.reassembled.0.mac.demuxed.ldpciter,rlc.reassembled.0.mac.demuxed.mcs,rlc.reassembled.0.mac.demuxed.hqpid,rlc.reassembled.0.mac.demuxed.hqround,rlc.reassembled.0.mac.demuxed.timestamp,rlc.reassembled.0.mac.demuxed.length,rlc.reassembled.0.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.1.rlc.reassembled.MRbuf,rlc.reassembled.1.rlc.reassembled.timestamp,rlc.reassembled.1.rlc.reassembled.length,rlc.reassembled.1.rlc.decoded.lcid,rlc.reassembled.1.rlc.decoded.hqpid,rlc.reassembled.1.rlc.decoded.frame,rlc.reassembled.1.rlc.decoded.slot,rlc.reassembled.1.rlc.decoded.timestamp,rlc.reassembled.1.rlc.decoded.length,rlc.reassembled.1.mac.demuxed.frame,rlc.reassembled.1.mac.demuxed.slot,rlc.reassembled.1.mac.demuxed.ldpciter,rlc.reassembled.1.mac.demuxed.mcs,rlc.reassembled.1.mac.demuxed.hqpid,rlc.reassembled.1.mac.demuxed.hqround,rlc.reassembled.1.mac.demuxed.timestamp,rlc.reassembled.1.mac.demuxed.length,rlc.reassembled.1.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.2.rlc.reassembled.MRbuf,rlc.reassembled.2.rlc.reassembled.timestamp,rlc.reassembled.2.rlc.reassembled.length,rlc.reassembled.2.rlc.decoded.lcid,rlc.reassembled.2.rlc.decoded.hqpid,rlc.reassembled.2.rlc.decoded.frame,rlc.reassembled.2.rlc.decoded.slot,rlc.reassembled.2.rlc.decoded.timestamp,rlc.reassembled.2.rlc.decoded.length,rlc.reassembled.2.mac.demuxed.frame,rlc.reassembled.2.mac.demuxed.slot,rlc.reassembled.2.mac.demuxed.ldpciter,rlc.reassembled.2.mac.demuxed.mcs,rlc.reassembled.2.mac.demuxed.hqpid,rlc.reassembled.2.mac.demuxed.hqround,rlc.reassembled.2.mac.demuxed.timestamp,rlc.reassembled.2.mac.demuxed.length,rlc.reassembled.2.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.2.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.3.rlc.reassembled.MRbuf,rlc.reassembled.3.rlc.reassembled.timestamp,rlc.reassembled.3.rlc.reassembled.length,rlc.reassembled.3.rlc.decoded.lcid,rlc.reassembled.3.rlc.decoded.hqpid,rlc.reassembled.3.rlc.decoded.frame,rlc.reassembled.3.rlc.decoded.slot,rlc.reassembled.3.rlc.decoded.timestamp,rlc.reassembled.3.rlc.decoded.length,rlc.reassembled.3.mac.demuxed.frame,rlc.reassembled.3.mac.demuxed.slot,rlc.reassembled.3.mac.demuxed.ldpciter,rlc.reassembled.3.mac.demuxed.mcs,rlc.reassembled.3.mac.demuxed.hqpid,rlc.reassembled.3.mac.demuxed.hqround,rlc.reassembled.3.mac.demuxed.timestamp,rlc.reassembled.3.mac.demuxed.length,rlc.reassembled.3.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.3.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqround
257,256,1722015965.6116853,1722015965.6315784,1722015965.631526,128,257,1722015965.631522,128,1722015965.631516,131,1931185683,1722015965.631516,3,4,1,518,17,1722015965.631516,8,518,17,3,13,1,0,1722015965.631515,90,1722015965.631373,518,17,1,0,1931185734,1722015965.621449,128,4,14,517,17,1722015965.621448,131,517,17,3,13,14,0,1722015965.621441,220,1722015965.62135,517,17,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,257,1722015965.6318157,1722015965.6565282,1722015965.656452,128,258,1722015965.656448,128,1722015965.65644,131,1931185666,1722015965.65644,95,4,3,521,7,1722015965.65644,100,521,7,3,13,3,2,1722015965.656439,120,1722015965.65633,521,7,3,2,1931185666,1722015965.641392,36,4,3,521,7,1722015965.65644,100,521,7,3,13,3,2,1722015965.656439,120,1722015965.65633,521,7,3,2,,,,,,,,,,,,,,,,,,,,,,,1722015965.651371,520,17,3,1,1722015965.651371,520,17,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.646393,520,7,3,0,1722015965.646393,520,7,3,0
259,258,1722015965.6519535,1722015965.671464,1722015965.671433,128,259,1722015965.67143,128,1722015965.671424,131,1931185666,1722015965.671424,95,4,5,522,17,1722015965.671423,100,522,17,3,13,5,1,1722015965.671423,120,1722015965.671338,522,17,5,1,1931185666,1722015965.661388,36,4,5,522,17,1722015965.671423,100,522,17,3,13,5,1,1722015965.671423,120,1722015965.671338,522,17,5,1,,,,,,,,,,,,,,,,,,,,,,,1722015965.666355,522,7,5,0,1722015965.666355,522,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,259,1722015965.6720665,1722015965.6914535,1722015965.691422,128,260,1722015965.691418,128,1722015965.691412,131,1931185666,1722015965.691412,95,4,8,524,17,1722015965.691411,100,524,17,3,13,8,1,1722015965.691411,120,1722015965.691328,524,17,8,1,1931185666,1722015965.681373,36,4,8,524,17,1722015965.691411,100,524,17,3,13,8,1,1722015965.691411,120,1722015965.691328,524,17,8,1,,,,,,,,,,,,,,,,,,,,,,,1722015965.686343,524,7,8,0,1722015965.686343,524,7,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,260,1722015965.692203,1722015965.706467,1722015965.706435,128,261,1722015965.706432,128,1722015965.706425,131,1931185666,1722015965.706425,95,4,9,526,7,1722015965.706424,100,526,7,7,13,9,0,1722015965.706424,120,1722015965.706324,526,7,9,0,1931185666,1722015965.701408,36,4,9,526,7,1722015965.706424,100,526,7,7,13,9,0,1722015965.706424,120,1722015965.706324,526,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,261,1722015965.7123363,1722015965.786549,1722015965.786448,128,262,1722015965.786447,128,1722015965.786433,131,1931185666,1722015965.786432,61,4,1,534,7,1722015965.786432,66,534,7,6,13,1,0,1722015965.786431,220,1722015965.786327,534,7,1,0,1931185666,1722015965.781425,34,4,1,534,7,1722015965.786432,66,534,7,6,13,1,0,1722015965.786431,220,1722015965.786327,534,7,1,0,1931185666,1722015965.726474,36,4,1,534,7,1722015965.786432,66,534,7,6,13,1,0,1722015965.786431,220,1722015965.786327,534,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,264,1722015965.771686,1722015965.7964594,1722015965.796429,128,265,1722015965.796426,128,1722015965.79642,131,1931185683,1722015965.79642,3,4,3,535,7,1722015965.796419,8,535,7,4,13,3,0,1722015965.796418,90,1722015965.79635,535,7,3,0,1931185734,1722015965.786437,128,4,1,534,7,1722015965.786437,131,534,7,6,13,1,0,1722015965.786431,220,1722015965.786327,534,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,265,1722015965.7918198,1722015965.8967671,1722015965.896655,128,266,1722015965.896648,128,1722015965.896638,131,1931185666,1722015965.896637,66,4,5,545,7,1722015965.896636,71,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,1931185666,1722015965.88648,34,4,5,545,7,1722015965.896636,71,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,1931185693,1722015965.796423,31,4,3,535,7,1722015965.796423,34,535,7,4,13,3,0,1722015965.796418,90,1722015965.79635,535,7,3,0,1722015965.891404,544,17,5,0,1722015965.891404,544,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,265,1722015965.7918198,1722015965.8967671,1722015965.896658,128,267,1722015965.896657,128,1722015965.896643,131,1931185739,1722015965.896643,131,4,5,545,7,1722015965.896643,134,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.891404,544,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,265,1722015965.7918198,1722015965.8967671,1722015965.896659,128,268,1722015965.896658,128,1722015965.896645,131,1931185875,1722015965.896645,131,4,5,545,7,1722015965.896644,134,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.891404,544,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,265,1722015965.7918198,1722015965.8967671,1722015965.896664,128,269,1722015965.896659,128,1722015965.896647,131,1931186011,1722015965.896645,131,4,5,545,7,1722015965.896645,134,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.891404,544,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,265,1722015965.7918198,1722015965.8967671,1722015965.896665,128,270,1722015965.896664,128,1722015965.896649,131,1931186147,1722015965.896648,131,4,5,545,7,1722015965.896648,134,545,7,5,13,5,1,1722015965.896635,792,1722015965.896383,545,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.891404,544,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,270,1722015965.8925264,1722015965.916472,1722015965.916437,128,271,1722015965.916432,128,1722015965.916424,131,1931185666,1722015965.916424,95,4,8,547,7,1722015965.916423,100,547,7,3,13,8,1,1722015965.916423,120,1722015965.916337,547,7,8,1,1931185666,1722015965.906456,36,4,8,547,7,1722015965.916423,100,547,7,3,13,8,1,1722015965.916423,120,1722015965.916337,547,7,8,1,,,,,,,,,,,,,,,,,,,,,,,1722015965.911356,546,17,8,0,1722015965.911356,546,17,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,271,1722015965.9126787,1722015965.936449,1722015965.936416,128,272,1722015965.936412,128,1722015965.936406,131,1931185666,1722015965.936405,95,4,9,549,7,1722015965.936405,100,549,7,3,13,9,1,1722015965.936404,120,1722015965.93632,549,7,9,1,1931185666,1722015965.926425,36,4,9,549,7,1722015965.936405,100,549,7,3,13,9,1,1722015965.936404,120,1722015965.93632,549,7,9,1,,,,,,,,,,,,,,,,,,,,,,,1722015965.931351,548,17,9,0,1722015965.931351,548,17,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,272,1722015965.9318185,1722015965.951448,1722015965.951413,128,273,1722015965.951411,128,1722015965.951405,131,1931185666,1722015965.951404,95,4,11,550,17,1722015965.951404,100,550,17,3,13,11,1,1722015965.951403,120,1722015965.951328,550,17,11,1,1931185666,1722015965.941356,36,4,11,550,17,1722015965.951404,100,550,17,3,13,11,1,1722015965.951403,120,1722015965.951328,550,17,11,1,,,,,,,,,,,,,,,,,,,,,,,1722015965.946362,550,7,11,0,1722015965.946362,550,7,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,273,1722015965.9519548,1722015965.976492,1722015965.976446,128,274,1722015965.976443,128,1722015965.976437,131,1931185666,1722015965.976437,95,4,13,553,7,1722015965.976436,100,553,7,3,13,13,2,1722015965.976434,120,1722015965.976362,553,7,13,2,1931185666,1722015965.961416,36,4,13,553,7,1722015965.976436,100,553,7,3,13,13,2,1722015965.976434,120,1722015965.976362,553,7,13,2,,,,,,,,,,,,,,,,,,,,,,,1722015965.971321,552,17,13,1,1722015965.971321,552,17,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015965.966343,552,7,13,0,1722015965.966343,552,7,13,0
275,274,1722015965.9720883,1722015965.9916086,1722015965.991531,128,275,1722015965.991527,128,1722015965.991518,131,1931185666,1722015965.991518,119,4,14,554,17,1722015965.991518,124,554,17,3,13,14,1,1722015965.991516,160,1722015965.991408,554,17,14,1,1931185690,1722015965.981401,12,4,15,553,17,1722015965.981401,15,553,17,5,9,15,0,1722015965.981393,60,1722015965.981334,553,17,15,0,,,,,,,,,,,,,,,,,,,,,,,1722015965.986391,554,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,275,1722015965.992227,1722015966.0115087,1722015966.011448,128,276,1722015966.011444,128,1722015966.011438,131,1931185666,1722015966.011437,95,4,1,556,17,1722015966.011437,100,556,17,3,13,1,1,1722015966.011436,120,1722015966.01134,556,17,1,1,1931185666,1722015966.001391,36,4,1,556,17,1722015966.011437,100,556,17,3,13,1,1,1722015966.011436,120,1722015966.01134,556,17,1,1,,,,,,,,,,,,,,,,,,,,,,,1722015966.00638,556,7,1,0,1722015966.00638,556,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,276,1722015966.012369,1722015966.031496,1722015966.031455,128,277,1722015966.03145,128,1722015966.031444,131,1931185666,1722015966.031444,95,4,3,558,17,1722015966.031443,100,558,17,6,13,3,0,1722015966.031442,120,1722015966.031337,558,17,3,0,1931185666,1722015966.026408,36,4,3,558,17,1722015966.031443,100,558,17,6,13,3,0,1722015966.031442,120,1722015966.031337,558,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,277,1722015966.0325031,1722015966.10661,1722015966.106505,128,278,1722015966.106504,128,1722015966.106489,131,1931185666,1722015966.106488,61,4,11,566,7,1722015966.106487,66,566,7,4,12,11,1,1722015966.106486,220,1722015966.106354,566,7,11,1,1931185666,1722015966.096379,34,4,11,566,7,1722015966.106487,66,566,7,4,12,11,1,1722015966.106486,220,1722015966.106354,566,7,11,1,1931185666,1722015966.046393,36,4,11,566,7,1722015966.106487,66,566,7,4,12,11,1,1722015966.106486,220,1722015966.106354,566,7,11,1,1722015966.101341,565,17,11,0,1722015966.101341,565,17,11,0,1722015966.101341,565,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,277,1722015966.0325031,1722015966.10661,1722015966.106506,128,281,1722015966.106506,128,1722015966.106494,131,1931185734,1722015966.106494,131,4,11,566,7,1722015966.106493,134,566,7,4,12,11,1,1722015966.106486,220,1722015966.106354,566,7,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.101341,565,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,281,1722015966.1120088,1722015966.2117956,1722015966.211635,128,282,1722015966.211627,128,1722015966.211617,131,1931185666,1722015966.211614,79,4,14,576,17,1722015966.211614,84,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,1931185666,1722015966.201408,34,4,14,576,17,1722015966.211614,84,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,1931185700,1722015966.116404,18,4,13,567,7,1722015966.116403,21,567,7,4,12,13,0,1722015966.116402,75,1722015966.116314,567,7,13,0,1722015966.20637,576,7,14,0,1722015966.20637,576,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,281,1722015966.1120088,1722015966.2117956,1722015966.211637,128,283,1722015966.211636,128,1722015966.211623,131,1931185752,1722015966.211623,131,4,14,576,17,1722015966.211623,134,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.20637,576,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,281,1722015966.1120088,1722015966.2117956,1722015966.211638,128,284,1722015966.211637,128,1722015966.211625,131,1931185888,1722015966.211625,131,4,14,576,17,1722015966.211624,134,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.20637,576,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,281,1722015966.1120088,1722015966.2117956,1722015966.211639,128,285,1722015966.211638,128,1722015966.211626,131,1931186024,1722015966.211625,131,4,14,576,17,1722015966.211625,134,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.20637,576,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,281,1722015966.1120088,1722015966.2117956,1722015966.21164,128,286,1722015966.211639,128,1722015966.211626,131,1931186160,1722015966.211626,131,4,14,576,17,1722015966.211626,134,576,17,6,11,14,1,1722015966.211612,792,1722015966.211345,576,17,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.20637,576,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,286,1722015966.2127113,1722015966.2365,1722015966.236456,128,287,1722015966.236452,128,1722015966.236444,131,1931185666,1722015966.236444,95,4,1,579,7,1722015966.236444,100,579,7,4,11,1,1,1722015966.236443,110,1722015966.236345,579,7,1,1,1931185666,1722015966.226407,36,4,1,579,7,1722015966.236444,100,579,7,4,11,1,1,1722015966.236443,110,1722015966.236345,579,7,1,1,,,,,,,,,,,,,,,,,,,,,,,1722015966.231374,578,17,1,0,1722015966.231374,578,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,287,1722015966.2318544,1722015966.251486,1722015966.251441,128,288,1722015966.251438,128,1722015966.251431,131,1931185666,1722015966.251431,95,4,3,580,17,1722015966.251431,100,580,17,3,11,3,1,1722015966.25143,110,1722015966.251364,580,17,3,1,1931185666,1722015966.241393,36,4,3,580,17,1722015966.251431,100,580,17,3,11,3,1,1722015966.25143,110,1722015966.251364,580,17,3,1,,,,,,,,,,,,,,,,,,,,,,,1722015966.24638,580,7,3,0,1722015966.24638,580,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,288,1722015966.2519953,1722015966.2714689,1722015966.27143,128,289,1722015966.271427,128,1722015966.271421,131,1931185666,1722015966.271421,95,4,5,582,17,1722015966.27142,100,582,17,3,11,5,1,1722015966.27142,110,1722015966.271339,582,17,5,1,1931185666,1722015966.261375,36,4,5,582,17,1722015966.27142,100,582,17,3,11,5,1,1722015966.27142,110,1722015966.271339,582,17,5,1,,,,,,,,,,,,,,,,,,,,,,,1722015966.266352,582,7,5,0,1722015966.266352,582,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,289,1722015966.272144,1722015966.2964375,1722015966.296399,128,290,1722015966.296396,128,1722015966.296389,131,1931185666,1722015966.296389,95,4,8,585,7,1722015966.296389,100,585,7,3,11,8,2,1722015966.296388,110,1722015966.296302,585,7,8,2,1931185666,1722015966.281374,36,4,8,585,7,1722015966.296389,100,585,7,3,11,8,2,1722015966.296388,110,1722015966.296302,585,7,8,2,,,,,,,,,,,,,,,,,,,,,,,1722015966.29134,584,17,8,1,1722015966.29134,584,17,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015966.286341,584,7,8,0,1722015966.286341,584,7,8,0
291,290,1722015966.2922804,1722015966.306452,1722015966.306419,128,291,1722015966.306416,128,1722015966.306411,131,1931185666,1722015966.306411,95,4,9,586,7,1722015966.306411,100,586,7,4,10,9,0,1722015966.30641,110,1722015966.306325,586,7,9,0,1931185666,1722015966.301387,36,4,9,586,7,1722015966.306411,100,586,7,4,10,9,0,1722015966.30641,110,1722015966.306325,586,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,291,1722015966.3124194,1722015966.3315165,1722015966.331479,128,292,1722015966.331475,128,1722015966.331469,131,1931185666,1722015966.331469,95,4,11,588,17,1722015966.331468,100,588,17,6,10,11,0,1722015966.331467,110,1722015966.331368,588,17,11,0,1931185666,1722015966.326429,36,4,11,588,17,1722015966.331468,100,588,17,6,10,11,0,1722015966.331467,110,1722015966.331368,588,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,292,1722015966.3325584,1722015966.3514793,1722015966.351443,128,293,1722015966.35144,128,1722015966.351434,131,1931185666,1722015966.351433,95,4,13,590,17,1722015966.351433,100,590,17,6,10,13,0,1722015966.351432,110,1722015966.351346,590,17,13,0,1931185666,1722015966.346415,36,4,13,590,17,1722015966.351433,100,590,17,6,10,13,0,1722015966.351432,110,1722015966.351346,590,17,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,293,1722015966.351639,1722015966.366481,1722015966.366451,128,294,1722015966.366448,128,1722015966.366441,131,1931185666,1722015966.366441,95,4,14,592,7,1722015966.366441,100,592,7,6,10,14,0,1722015966.36644,110,1722015966.366347,592,7,14,0,1931185666,1722015966.361341,36,4,14,592,7,1722015966.366441,100,592,7,6,10,14,0,1722015966.36644,110,1722015966.366347,592,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,294,1722015966.3717756,1722015966.3864682,1722015966.386415,128,295,1722015966.386412,128,1722015966.386406,131,1931185666,1722015966.386406,95,4,1,594,7,1722015966.386405,100,594,7,3,10,1,0,1722015966.386404,110,1722015966.386336,594,7,1,0,1931185666,1722015966.381403,36,4,1,594,7,1722015966.386405,100,594,7,3,10,1,0,1722015966.386404,110,1722015966.386336,594,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,295,1722015966.3919096,1722015966.4065068,1722015966.406459,128,296,1722015966.406456,128,1722015966.406451,131,1931185666,1722015966.40645,95,4,3,596,7,1722015966.40645,100,596,7,3,9,3,0,1722015966.406449,120,1722015966.406381,596,7,3,0,1931185666,1722015966.401381,36,4,3,596,7,1722015966.40645,100,596,7,3,9,3,0,1722015966.406449,120,1722015966.406381,596,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,296,1722015966.412045,1722015966.426494,1722015966.426454,128,297,1722015966.426449,128,1722015966.426442,131,1931185666,1722015966.426442,95,4,5,598,7,1722015966.426442,100,598,7,3,9,5,0,1722015966.426441,120,1722015966.426363,598,7,5,0,1931185666,1722015966.421377,36,4,5,598,7,1722015966.426442,100,598,7,3,9,5,0,1722015966.426441,120,1722015966.426363,598,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,297,1722015966.4321816,1722015966.4465053,1722015966.446468,128,298,1722015966.446465,128,1722015966.446458,131,1931185666,1722015966.446457,95,4,8,600,7,1722015966.446457,100,600,7,4,9,8,0,1722015966.446456,120,1722015966.446364,600,7,8,0,1931185666,1722015966.441356,36,4,8,600,7,1722015966.446457,100,600,7,4,9,8,0,1722015966.446456,120,1722015966.446364,600,7,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
